,input,target
15," While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show their customers some interesting sites in order for them to advertise by word of mouth , it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example , those with entrance fees that would make the total package price overly expensive ."
16, Disadvantage is parking their car is very difficult .,A disadvantage is that parking their cars is very difficult .
17, Disadvantage is parking their car is very difficult .,A disadvantage is that parking their car is very difficult .
18, Disadvantage is parking their car is very difficult .,The disadvantage is that parking their car is very difficult .
19, Disadvantage is parking their car is very difficult .,The disadvantage is that parking their car is very difficult .
20, Bigger farming are use more chemical product and substance to feed fish .,Bigger farming is using more chemical products and substances to feed fish .
21, Bigger farming are use more chemical product and substance to feed fish .,Big farming are using more chemical products and substances to feed fish .
22, Bigger farming are use more chemical product and substance to feed fish .,Bigger farms are using more chemical products and substances to feed fish .
23, Bigger farming are use more chemical product and substance to feed fish .,Bigger farms are using more chemical products and substances to feed fish .
24," Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
25," Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
26," Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
27," Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
28," if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will only get some misunderstood idea about that article but not the original one ."
29," if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will get a mistaken idea about that article but not the intended idea ."
30," if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will get some misunderstood idea about the article instead of the original one ."
31," if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will only get some misunderstood idea about that article but not the original one ."
32," Secondly , chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions .","Secondly , chimps are also capable of learning grammar , meaning they can demonstrate the ability to combine words and utilize grammatical constructions ."
33," Secondly , chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions .","Secondly , chimp can also present the capability for grammar , which means it can demonstrate the ability to combine words and be able to use grammatical constructions ."
34," Secondly , chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions .","Secondly , a chimp can also show the capability for grammar , which means it can demonstrate the ability to combine words and use grammatical constructions ."
35," Secondly , chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions .","Secondly , chimps can also present the capability for grammar , which means they demonstrate the ability to combine words and use grammatical constructions ."
36," Nevertheless , this city is having a big change .","Nevertheless , this city is going through a big change ."
37," Nevertheless , this city is having a big change .","Nevertheless , this city is experiencing a big change ."
38," Nevertheless , this city is having a big change .","Nevertheless , this city is undergoing a big change ."
39," Nevertheless , this city is having a big change .","Nevertheless , this city is undergoing a big change ."
40," I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought , but it 's definitly not an evidence for their intelligence .","I think to learn facts is only evidence if the students can work hard and if they are able to keep every detailed information taught , but it 's definitely not evidence of their intelligence ."
41," I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought , but it 's definitly not an evidence for their intelligence .","I think to learn facts is only effective if the students can work hard and they are able to keep every detailed information as taught , but it 's definitely not a measure of their intelligence ."
42," I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought , but it 's definitly not an evidence for their intelligence .","I think that to learn facts is only proof that the students can work hard and that they are able to retain detailed information they are taught , but it 's definitely not proof of their intelligence ."
43," I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought , but it 's definitly not an evidence for their intelligence .","I think learning facts is only evidence of whether students can work hard and if they are able to retain every detail of information they are taught , but it 's definitely not evidence of their intelligence ."
44," Unforturntly , almost older people can not use internet , in spite of benefit of internet .","Unfortunately , in spite of its benefits , many older people can not use the Internet ."
45," Unforturntly , almost older people can not use internet , in spite of benefit of internet .","Unfortunately , most older people can not use the internet , in spite of benefits of the internet ."
46," Unforturntly , almost older people can not use internet , in spite of benefit of internet .","Unfortunately , almost all older people can not use the internet in spite of the benefits ."
47," Unforturntly , almost older people can not use internet , in spite of benefit of internet .","Unfortunately , most older people can not use the internet in spite of its benefits ."
48," So , if i have alot of information about this subject , i will taulk too much with knowledge but if i have general information for this subject , i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing .","So , if I have a lot of information about this subject , I will talk a lot with knowledge but if I have general information for this subject , I will talk about this subject with my limited knowledge and this case may make me shameful like when my brother asked me about some thing but I did not have a lot of information about this thing ."
49," So , if i have alot of information about this subject , i will taulk too much with knowledge but if i have general information for this subject , i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing .","So , if I have a lot of information about this subject , I will talk with too much knowledge but if I have only general information for this subject , I will talk with only my limited knowledge and in this case may be ashamed like when my brother asked me about something but I did not have a lot of information on the subject ."
50," So , if i have alot of information about this subject , i will taulk too much with knowledge but if i have general information for this subject , i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing .","So if I have a lot of information about a subject , then I will talk with too much knowledge , but if i have just general information about the subject , then I will talk about it with my limited knowledge , and this may cause me shame , like when my brother asked me about something but I did not have a lot of information about the subject ."
51," So , if i have alot of information about this subject , i will taulk too much with knowledge but if i have general information for this subject , i will talk about this subjec with my limited knowlege and this case may be make me shame like when my brother asked me about some thing but i have not alot of information about this thing .","So , if I have a lot of information about this subject , I will talk too much because of that knowledge , but if I only have general information about it , I will convey my limited knowledge and this may make me feel ashamed , like when my brother asked me about something that I did n't have a lot of information about ."
52, becuse if i see some one did somthing to may safe me time and engy and it wok 's i will do it .,"Because if I see someone did something that may save me time and energy and it works , I will do it ."
53, becuse if i see some one did somthing to may safe me time and engy and it wok 's i will do it .,Because if I see that someone did something that may save me time and energy and it works I will also do it .
54, becuse if i see some one did somthing to may safe me time and engy and it wok 's i will do it .,"Because if I see someone did something to save me time and energy and it works , I will do it ."
55, becuse if i see some one did somthing to may safe me time and engy and it wok 's i will do it .,"If I see that someone did something that may save me me time and energy , and it works , then I will do it too ."
56, The government should think about the whole nature .,The government should think about all nature .
57, The government should think about the whole nature .,The government should think about nature as a whole .
58, The government should think about the whole nature .,The government should think about the whole nature .
59, The government should think about the whole nature .,The government should think about the whole of nature .
60, They will not be able to compete with other similar brands and the product will fizzle out or die .,They will not be able to compete with other similar brands and the product will fizzle out or die .
61, They will not be able to compete with other similar brands and the product will fizzle out or die .,They will not be able to compete with other similar brands and the product will fizzle out or die .
62, They will not be able to compete with other similar brands and the product will fizzle out or die .,They will not be able to compete with similar brands and the product will fizzle out or die .
63, They will not be able to compete with other similar brands and the product will fizzle out or die .,They will not be able to compete with other similar brands and the product will fizzle out or die .
64, People are now opening their eyes to the scenario when we would run out of fuel .,People are now opening their eyes to the scenario when we would run out of fuel .
65, People are now opening their eyes to the scenario when we would run out of fuel .,People are now opening their eyes to the scenario that happens when we run out of fuel .
66, People are now opening their eyes to the scenario when we would run out of fuel .,People are now opening their eyes to the scenario where we could run out of fuel .
67, People are now opening their eyes to the scenario when we would run out of fuel .,People are now opening their eyes to the scenario that we could run out of fuel .
68, For me it was great because I need to talk on the phone locally and nationally for long periods of time .,"For me , it was great because I need to talk on the phone locally and nationally for long periods of time ."
69, For me it was great because I need to talk on the phone locally and nationally for long periods of time .,For me it was great because I need to talk on the phone locally and nationally for long periods of time .
70, For me it was great because I need to talk on the phone locally and nationally for long periods of time .,"For me , it was great because I need to talk on the phone both locally and nationally for long periods of time ."
71, For me it was great because I need to talk on the phone locally and nationally for long periods of time .,"For me , it was great because I need to talk on the phone locally and nationally for long periods of time ."
72, They only care if the effects are good and popular among the crowds .,They only care if the effects are good and popular among the crowds .
73, They only care if the effects are good and popular among the crowds .,They only care if the effects are good and popular among the crowds .
74, They only care if the effects are good and popular among the crowds .,They only care if the effects are good and popular with the crowds .
75, They only care if the effects are good and popular among the crowds .,They only care if the effects are good and popular among the crowds .
76," That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options .","That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options ."
77," That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options .","That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options ."
78," That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options .","That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options ."
79," That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options .","Calculated risks , as one could call them , are the predecessors of big success because they get people 's attention by giving them new options ."
80," He said in other words that the more flouride may create damage in human body , specifically the bone .","He said in other words that the more fluoride may create damage in the human body , specifically the bone ."
81," He said in other words that the more flouride may create damage in human body , specifically the bone .","He said , in other words , that more fluoride may create damage in the human body , specifically the bone ."
82," He said in other words that the more flouride may create damage in human body , specifically the bone .","He said , in other words , that more fluoride may create damage to the human body , specifically the bones ."
83," He said in other words that the more flouride may create damage in human body , specifically the bone .","In other words , he said that more fluoride may damage the human body , specifically the bones ."
84, When these people create their new ideas others often look very strange on them .,"When these people create their new ideas , others often look very strange to them ."
85, When these people create their new ideas others often look very strange on them .,When these people create their new ideas others often look very strangely on them .
86, When these people create their new ideas others often look very strange on them .,When these people create new ideas others often look very strange at them .
87, When these people create their new ideas others often look very strange on them .,"When these people create new ideas , others often look very strangely at them ."
88, You will learn to socialize with people .,You will learn to socialize with people .
89, You will learn to socialize with people .,You will learn to socialize with people .
90, You will learn to socialize with people .,You will learn to socialize with people .
91, You will learn to socialize with people .,You will learn to socialize with people .
92," No ohter transportation concept has been as successful as the car , not only because the goog street and highway system throughout the United States and Europe , but only because off the fact , that people love their cars .","No other transportation concept has been as successful as the car , not only because they can go on the street and highway system throughout the United States and Europe , but because of the fact that people love their cars ."
93," No ohter transportation concept has been as successful as the car , not only because the goog street and highway system throughout the United States and Europe , but only because off the fact , that people love their cars .","No other transportation concept has been as successful as the car , not only because of the good street and highway systems throughout the United States and Europe , but also because of the fact that people love their cars ."
94," No ohter transportation concept has been as successful as the car , not only because the goog street and highway system throughout the United States and Europe , but only because off the fact , that people love their cars .","No other transportation concept has been as successful as the car , not only because of the good street and highway system throughout the United States and Europe , but also because of the fact that people love their cars ."
95," No ohter transportation concept has been as successful as the car , not only because the goog street and highway system throughout the United States and Europe , but only because off the fact , that people love their cars .","No other transportation concept has been as successful as the car , not only because of good streets and highway systems throughout the United States and Europe , but also because of the fact that people love their cars ."
96," If they prefer to choose cars than motor bike , that means there will be many cars .","If they prefer to choose cars than motor bikes , that means there will be many cars ."
97," If they prefer to choose cars than motor bike , that means there will be many cars .","If people prefer to choose cars over motorbikes , that means there will be many cars ."
98," If they prefer to choose cars than motor bike , that means there will be many cars .","If they prefer to choose cars instead of motor bikes , there will be many cars ."
99," If they prefer to choose cars than motor bike , that means there will be many cars .","If they prefer to choose cars over motor bikes , that means that there will be many cars ."
100, That 's why he is a legend in these days and people repect him .,That 's why he is a legend in these days and people respect him .
101, That 's why he is a legend in these days and people repect him .,That 's why he is a legend these days and people respect him .
102, That 's why he is a legend in these days and people repect him .,"That 's why he is a legend in these days , and why people respect him ."
103, That 's why he is a legend in these days and people repect him .,That 's why he is a legend in these days and people respect him .
104," for example , in math club , teachers usually teach us how to solve a math problem using vary ways .","In math club for example , teachers usually show how to solve a math problem in different ways ."
105," for example , in math club , teachers usually teach us how to solve a math problem using vary ways .","For example , in math club , teachers usually teach us how to solve a math problem using various ways ."
106," for example , in math club , teachers usually teach us how to solve a math problem using vary ways .","For example , in math club , teachers usually teach us how to solve a math problem using various methods ."
107," for example , in math club , teachers usually teach us how to solve a math problem using vary ways .","For example , in math club , teachers usually teach us how to solve a math problem using different methods ."
108," In order hand , when I was a fresh man in my college , I could concentrate on my favorit subjects .","On the other hand , when I was a freshman at my college , I could concentrate on my favorite subjects ."
109," In order hand , when I was a fresh man in my college , I could concentrate on my favorit subjects .","On the other hand , when I was a freshman at my college , I could concentrate on my favorite subjects ."
110," In order hand , when I was a fresh man in my college , I could concentrate on my favorit subjects .","On the other hand , when I was a fresh man in my college , I could concentrate on my favorite subjects ."
111," In order hand , when I was a fresh man in my college , I could concentrate on my favorit subjects .","On the other hand , when I was a freshman in college , I could concentrate on my favorite subjects ."
112, I have an IBM computer and my laptop is DELL .,I have an IBM desktop computer and my laptop is a Dell .
113, I have an IBM computer and my laptop is DELL .,I have an IBM computer and my laptop is DELL .
114, I have an IBM computer and my laptop is DELL .,"I have an IBM computer , and my laptop is a Dell ."
115, I have an IBM computer and my laptop is DELL .,I have an IBM computer and my laptop is a Dell .
116, Air in China is not so clean because of cars .,Air in China is not so clean because of cars .
117, Air in China is not so clean because of cars .,The air in China is not very clean because of pollution from cars .
118, Air in China is not so clean because of cars .,Air in China is not so clean because of all the cars .
119, Air in China is not so clean because of cars .,The air in China is not so clean because of the number of cars .
120," When price of gas goes up , the consumer do not want buy gas for fuels .","When price of gas goes up , the consumers do not want buy gas for fuel ."
121," When price of gas goes up , the consumer do not want buy gas for fuels .","When the price of gas goes up , the consumer does not want to buy gas for fuel ."
122," When price of gas goes up , the consumer do not want buy gas for fuels .","When the price of gas goes up , consumers do not want to buy gas for fuel ."
123," When price of gas goes up , the consumer do not want buy gas for fuels .","When the price of gas goes up , consumers do not want to buy gas for fuel ."
124," although , learning more subjects gives us a huge knowledge which is make me sucssesfu in my study .","Although learning more subjects gives us huge knowledge , which will make me successful in my study ."
125," although , learning more subjects gives us a huge knowledge which is make me sucssesfu in my study .","Although , learning more subjects gives us more knowledge which could make me successful in my studies ."
126," although , learning more subjects gives us a huge knowledge which is make me sucssesfu in my study .","Although , learning more subjects gives us great knowledge , which makes me successful in my studies ."
127," although , learning more subjects gives us a huge knowledge which is make me sucssesfu in my study .","Learning more subjects gives us huge knowledge , which makes me successful in my studies ."
128," When you`re making a tour guide trip , you already have a everything settled from the time you`re departing to the time you arrive .","When you 're making a tour guide trip , you already have everything settled from the time you 're departing , to the time you arrive ."
129," When you`re making a tour guide trip , you already have a everything settled from the time you`re departing to the time you arrive .","When you 're taking a trip with a tour guide , everything is already settled from the time you arrive until the time you depart ."
130," When you`re making a tour guide trip , you already have a everything settled from the time you`re departing to the time you arrive .","When you 're taking a tour guide trip , you have everything settled from the time you leave to the time you arrive ."
131," When you`re making a tour guide trip , you already have a everything settled from the time you`re departing to the time you arrive .","When you 're taking a trip with a tour guide , you already have everything settled , from the time you depart to the time you arrive ."
132," On the other hand , although in Turkey the public transportation is getting developed especially in the two big cities , that is , Ankara and istanbul , it is still nothing compared to Sweden .","On the other hand , although in Turkey the public transportation is developing , especially in the two big cities , that is , Ankara and istanbul , it is still nothing compared to Sweden ."
133," On the other hand , although in Turkey the public transportation is getting developed especially in the two big cities , that is , Ankara and istanbul , it is still nothing compared to Sweden .","On the other hand , although in Turkey public transportation is getting developed especially in the two big cities Ankara and Istanbul , it is still nothing compared to Sweden ."
134," On the other hand , although in Turkey the public transportation is getting developed especially in the two big cities , that is , Ankara and istanbul , it is still nothing compared to Sweden .","On the other hand , although in Turkey the public transportation is being developed , especially in the two big cities of Ankara and Istanbul , it is still nothing compared to Sweden 's system ."
135," On the other hand , although in Turkey the public transportation is getting developed especially in the two big cities , that is , Ankara and istanbul , it is still nothing compared to Sweden .","On the other hand , Turkey 's public transportation is developing , especially in the two big cities , Ankara and Istanbul , but it is still nothing compared to Sweden ."
136, This rebuffs the reading passage 's claim that there is no improvement .,This rebuffs the reading passage 's claim that there is no improvement .
137, This rebuffs the reading passage 's claim that there is no improvement .,This rebuffs the reading passage 's claim that there is no improvement .
138, This rebuffs the reading passage 's claim that there is no improvement .,This contradicts the reading passage 's claim that there is no improvement .
139, This rebuffs the reading passage 's claim that there is no improvement .,This refutes the reading passage 's claim that there is no improvement .
140," As they are involved with study , they donot get enough time to look after their community .","As they are involved with study , they do not get enough time to look after their community ."
141," As they are involved with study , they donot get enough time to look after their community .","Because they are involved with their studies , they do n't get enough time to look after their community ."
142," As they are involved with study , they donot get enough time to look after their community .","As they are involved with their studies , they do not have enough time to look after their community ."
143," As they are involved with study , they donot get enough time to look after their community .","As they are involved with their studies , they do not have enough time to look after their community ."
144," However , I strongly maintained that traveling by their own gives a lot of advantages .","However , I strongly maintain that traveling by their own has a lot of advantages ."
145," However , I strongly maintained that traveling by their own gives a lot of advantages .","However , I strongly maintained that traveling by their own gives them a lot of advantages ."
146," However , I strongly maintained that traveling by their own gives a lot of advantages .","However , I strongly maintain that traveling on their own gives them a lot of advantages ."
147," However , I strongly maintained that traveling by their own gives a lot of advantages .","However , I strongly maintained that traveling on their own had a lot of advantages ."
148, The even ask themself how this kind of things did n't cross their mind .,They even ask themselves how these kinds of things did n't cross their minds .
149, The even ask themself how this kind of things did n't cross their mind .,They even ask themselves how this kind of thing did n't cross their minds .
150, The even ask themself how this kind of things did n't cross their mind .,They even ask themselves how these kind of things did n't cross their mind .
151, The even ask themself how this kind of things did n't cross their mind .,They even ask themselves why this kind of thing did n't cross their mind .
152," People tends to choose other medias , and that is why litterature is in danger .","People tend to choose other medias , and that is why literature is in danger ."
153," People tends to choose other medias , and that is why litterature is in danger .",People tend to choose other types of media and that is why literature is in danger .
154," People tends to choose other medias , and that is why litterature is in danger .","People tend to choose other media types , and that is why literature is in danger ."
155," People tends to choose other medias , and that is why litterature is in danger .","People tend to choose other media , which is why literature is in danger ."
156, I cast doubt that twenty years is too short time to prove the problem .,I doubt that twenty years is too short of a time to prove the problem .
157, I cast doubt that twenty years is too short time to prove the problem .,I cast doubt that twenty years is too short to prove the problem .
158, I cast doubt that twenty years is too short time to prove the problem .,I cast doubt that twenty years is too short of a time to prove the problem .
159, I cast doubt that twenty years is too short time to prove the problem .,I doubt that twenty years is too short of a time to solve the problem .
160," So for these reasons i really believe that it 's important to have a broad knowledge on different subjects , instead of being focused on just one , because sometime the answer that we are searching for , we can easily find it in a field that can seems not related to our purpose .","So , for these reasons , I really believe that it 's important to have broad knowledge on different subjects instead of being focused on just one , because sometimes we can easily find the answer that we are searching for in a field that can seem unrelated to our purpose ."
161," So for these reasons i really believe that it 's important to have a broad knowledge on different subjects , instead of being focused on just one , because sometime the answer that we are searching for , we can easily find it in a field that can seems not related to our purpose .","So for these reasons , I really believe that it 's important to have a broad knowledge on different subjects , instead of being focused on just one , because sometimes the answer that we are searching for , we can easily find it in a field that can seem not related to our purpose ."
162," So for these reasons i really believe that it 's important to have a broad knowledge on different subjects , instead of being focused on just one , because sometime the answer that we are searching for , we can easily find it in a field that can seems not related to our purpose .","So for these reasons , I really believe that it 's important to have a broad knowledge of different subjects instead of being focused on just one , because sometimes the answer that we are searching for can be easily found in a field that can seem unrelated to our purpose ."
163," So for these reasons i really believe that it 's important to have a broad knowledge on different subjects , instead of being focused on just one , because sometime the answer that we are searching for , we can easily find it in a field that can seems not related to our purpose .","For these reasons , I really believe that it 's important to have broad knowledge on different subjects , instead of being focused on just one , because sometimes the answer that we are searching for can easily be found in a field that seems unrelated to our problem ."
164, I am pleased to know intelligent peple and learn about things which I do n't know .,I am pleased to know intelligent people and learn about things which I do n't know .
165, I am pleased to know intelligent peple and learn about things which I do n't know .,I am pleased to know intelligent people and learn about things that I do n't know .
166, I am pleased to know intelligent peple and learn about things which I do n't know .,I am pleased to meet intelligent people and learn new things .
167, I am pleased to know intelligent peple and learn about things which I do n't know .,I am pleased to know intelligent people and learn about things that I do n't know .
168," To resolve this problem , the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses .","To solve this problem , city governments are likely to improve public transportation systems by building new subway systems and adding more bus lines ."
169," To resolve this problem , the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses .","To resolve this problem , the city governments are likely to improve the public transportation system by building new subways and adding bus lines ."
170," To resolve this problem , the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses .","To resolve this problem , the governments of the cities are likely to improve the public transportation systems by building new subway systems and adding more lines for buses ."
171," To resolve this problem , the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses .","To resolve this problem , city governments are likely to improve the public transportation system by building new subway systems and adding more bus lines ."
172," I know lots of old people who go to parties , stay always in contact with others people .",I know lots of old people who go to parties and stay in contact with other people .
173," I know lots of old people who go to parties , stay always in contact with others people .",I know lots of old people who go to parties and who always stay in contact with other people .
174," I know lots of old people who go to parties , stay always in contact with others people .",I know lots of older people who go to parties and always stay in contact with others .
175," I know lots of old people who go to parties , stay always in contact with others people .",I know lots of old people who go to parties and always stay in contact with others .
176," But these thing seem to hard for old people , they move so hardly , and do n't have health body to play this thing like sports .","But these things seem too hard for old people , they move so difficultly , and do n't have a healthy body to play things like sports ."
177," But these thing seem to hard for old people , they move so hardly , and do n't have health body to play this thing like sports .","But these things seem too hard for old people , they move so slowly , and do n't have health bodies to use this thing like athletes ."
178," But these thing seem to hard for old people , they move so hardly , and do n't have health body to play this thing like sports .",But these things seem too hard for old people since they hardly move and do n't have healthy bodies to play things like sports .
179," But these thing seem to hard for old people , they move so hardly , and do n't have health body to play this thing like sports .","These thing seem too hard for old people , because they move with so much difficulty and do n't have health bodies to play sports ."
180," For example , if you understand the idea that all diseases , caused by microorganisms , are treated with the antibiotics , you will never use antidepressants .","For example , if you understand the idea that all diseases , caused by micro organisms , are treated with antibiotics , you will never use antidepressants ."
181," For example , if you understand the idea that all diseases , caused by microorganisms , are treated with the antibiotics , you will never use antidepressants .","For example , if you understand the idea that all diseases are caused by microorganisms and are treated with antibiotics , you will never use antidepressants ."
182," For example , if you understand the idea that all diseases , caused by microorganisms , are treated with the antibiotics , you will never use antidepressants .","For example , if you understand the idea that all diseases caused by microorganisms are treated with antibiotics , you will never use antidepressants ."
183," For example , if you understand the idea that all diseases , caused by microorganisms , are treated with the antibiotics , you will never use antidepressants .","For example , if you understand the idea that all diseases caused by microorganisms are treated with the antibiotics , you will never use antidepressants ."
184," I like about that , but after that it 's gradually starting boring and finally I did n't have interesting about all the stuff .","I liked that , but after that it gradually started becoming boring and finally I did n't have any interest about the stuff ."
185," I like about that , but after that it 's gradually starting boring and finally I did n't have interesting about all the stuff .","I liked it , but after awhile it gradually started to be boring , and eventually I did n't have interest in it ."
186," I like about that , but after that it 's gradually starting boring and finally I did n't have interesting about all the stuff .","I like that at first , but after a while it gradually starts getting boring until finally I do n't have an interest in all the stuff ."
187," I like about that , but after that it 's gradually starting boring and finally I did n't have interesting about all the stuff .","I liked learning about that , but it gradually started to get boring and finally I did n't have any interest in all that stuff ."
188," In her salary we cant buy some car because we are planing to finish our hause in Binangonan , Rizal and we will planing to finish my study in Boston .","With her salary , we ca n't buy some car because we are planning to finish our house in Binangonan , Rizal and we will be planning to finish my study in Boston ."
